name,line
"       EXT. DEEP SPACE
","         A dark screen is lit up by twinkling stars .
"
"                         SON
","          Baba?
"
"                         FATHER
","          Yes, my son?
"
"                         SON
","          Tell me a story .
"
"                         FATHER
","          Which one?
"
"                         SON
","          The story of home .
"
"                         FATHER
","         A meteorite drifts into frame , heading towards tiny Earth off
"
"                         FATHER (CONT'D)
","         in the distance.
"
"                         FATHER (CONT'D)
","          Millions of years ago , a meteorite
"
"                         (MORE)
","          made of vibranium, the strongest
"
"                         FATHER (CONT'D)
","          substance in the universe struck
"
"                         FATHER (CONT'D)
","          the continent of Africa affecting
"
"                         FATHER (CONT'D)
","          the plant life around it.
"
"                         SON
","         The meteorite hits Africa and we see plant life and animals
"
"                         FATHER
","         affected by vibranium.
"
"                         SON
","          And when the time of man came , five
"
"         EXT. LAKE MERRITT APARTMENT
","          tribes settled on it and called it
"
"          COMPLEX, OAKLAND NIGHT - 1992
","          Wakanda. The tribes lived in
"
"         INT. N'JOBU'S APARTMENT/HALLWAY NIGHT
","          constant war with each other until
"
"         TV.
","          a warrior shaman received a vision
"
"                         N'JOBU
","          from the Panther goddess Bast who
"
"                         N'JOBU (CONT'D)
","          led him to the Heart Shaped Herb, a
"
"                         JAMES
","          plant that granted him super human
"
"                         N'JOBU
","          strength , speed, and instincts.
"
"                         JAMES
","
"
"                         N'JOBU
","         A visual representation of the five tribes emerges as hands
"
"                         DORAMILAJE 1 (SUBTITLE)
","         from the sand animation, and we see them unite , and then
"
"                         (IN XHOSA)
","         break apart as conflict arises . Bashenga rises above the
"
"                         N'JOBU
","         conflict and eats the Heart Shaped Herb, proceeding to unite
"
"                         DORAMILAJE 1
","         the tribes .
"
"                         (IN XHOSA)
","          The warrior became King and the
"
"         OUT .
","          first Black Panther , the protector
"
"         INT. N'JOBU'S APARTMENT NIGHT
","          of Wakanda .
"
"                         N'JOBU
","          2.
"
"                         (IN XHOSA)
","          Four tribes agreed to live under
"
"                         YOUNG T'CHAKA
","          the King's rule , but the Jabari
"
"                         N'JOBU
","          tribe isolated themselves in the
"
"          YOUNG ' CHAKA
","          mountains.
"
"                         T
","         We see the Jabari striding off towards the isolated mountain
"
"          YOUNG ' CHAKA(CONT'D)
","         region.
"
"                         T
","          The Wakandans used vibranium to
"
"                         (IN XHOSA)
","          develop technology more advanced
"
"                         (IN ENGLISH)
","          than any other nation , but as
"
"          YOUNG T'CHAKA (CONT D)
","          Wakanda thrived the world around it
"
"                         N'JOBU
","          descended further into chaos.
"
"                         YOUNG T'CHAKA
","         We see images of war and slavery just outside Wakanda ' s
"
"         ULYSSES KLAUE .
","         secretive border .
"
"          YOUNG T'CHAKA (CONT'D)
","          To keep vibranium safe , the
"
"          YOUNG T'CHAKA (CONT'D)
","          Wakandans vowed to hide in plain
"
"                         N'JOBU
","          sight, keeping the truth of their
"
"                         YOUNGT'CHAKA
","          power from the outside world.
"
"                         N' JOBU
","         We see the protective barrier rise around the Wakandan city ,
"
"          YOUNG CHAKA(SUBTITLE)
","         as we pull back on the Earth as it spins, now zooming in on
"
"                         T'
","         another part of the world ..·
"
"                         (IN XHOSA)
","          And we still hide Baba?
"
"                         JAMES
","          Yes .
"
"                         N'JOBU
","          Why?
"
"                         N'JOBU (CONT'D)
","
"
"                         JAMES (ZURI)
","
"
"                         N'JOBU
","                         -
"
"                         YOUNG T'CHAKA
","         Towering apartment buildings loom over the horizon . Kids play
"
"          YOUNG T'CHAKA (CONT'D)
","         pickup basketball on a milk carton hoop when mysterious
"
"         EXT. LAKE MERRITT, OAKLAND NIGHT
","         lights approach from the sky.
"
"         INT. COMMAND
","
"
"          CABIN, ROYALTALONFIGHTER - NIGHT - PRESENT DAY
","
"
"                         BBC ANCHOR
","                         -
"
"                         (MORE)
","         An African man , N'JOBU (30s) sorts through firearms and goes
"
"          BBC ANCHOR(CONT'D)
","         over maps with another man , JAMES (20s , African American).
"
"                         OKOYE
","         Live news footage of the 1992 Los Angeles Riots plays on the
"
"         EXT. NIGHT SKY CHIBOCK- NIGHT
","          3.
"
"                        AN
","
"
"         INT. COMMAND
","
"
"          CABIN, ROYALTALONFIGHTER - NIGHT
","          Hey look , if we get in and out
"
"                         T'CHALLA
","          quick won't be any worries . You in
"
"          T'CHALLA (CONT D)
","          the van come in through from the
"
"                         OKOYE
","          west , come around the corner, land
"
"                         T'CHALLA
","          right here. Me and the twins
"
"         EXT. NIGHT SKY, CHIBOCK - NIGHT
","          pulling up right here , we leavin'
"
"         EXT. DIRT ROAD CHIBOCK - NIGHT
","          this car behind , ok? We corning ...
"
"         I/E . MILITANT LEADER'S PICKUP, DIRT ROAD, CHIBOCK- NIGHT
","         Suddenly, N'Jobu hears something that we don't ... a familiar
"
"                         MILITANT LEADER
","         sound.
"
"         INT. CARGOTRUCK, CHIBOCK- NIGHT
","          Hide the straps.
"
"                         DRESSED IN
","(James quickly moves into action, hiding the guns in the walls as N'Jobu peers out a window , then clears the maps from the table and unrolls a tapestry on the wall , hiding a bulletin board. James cocks a handgun.)
"
"                         CARGOTRUCKMILITANT
","
"
"         EXT. ROAD CHIBOCK- NIGHT
","James: Is it the Feds?
"
"         I/E. MILITANT LEADER'S PICKUP, DIRT ROAD CHIBOCK- NIGHT
","
"
"                         MILITANT LEADER
","N'Jobu: No.
"
"                         (INTO RADIO)
","
"
"         I/E . CARGOTRUCK, CHIBOCK- NIGHT
","(A KNOCK rattles the door. James walks over and looks out of a peep hole, then turns back with a confused expression.)
"
"         EXT. MILITANT LEADER'S PICKUP, DIRT ROAD CHIBOCK- NIGHT
","
"
"         ON MILITANT LEADER
","          It's two Grace Jones looking
"
"                         MILITANT LEADER
","          chicks ·.. they're holding spears . . .
"
"                         (INTO RADIO)
","          Open it.
"
"                        FROMTHE ROAD
","          You serious?
"
"          . SO CAL,
","          They won't knock again .
"
"         I/E. CARGOTRUCK CHIBOCK- NIGHT
","         James opens the door and TWODORAMILAJE (members of the All
"
"         EXT. DIRT CLEARING, CHIBOCK - NIGHT
","         Female Wakandan Special Forces) slowly enter carrying LARGE
"
"                        ON PANTHER
","         SPEARS They eye N' Jobu.
"
"                         NAKIA
","          .
"
"                         T'CHALLA
","          Who are you?
"
"          NIGERIAN MILITANT #2 (O.S.)
","
"
"                        CAPTIVE WOMAN
","          Prince N'Jobu , son of Azzuri .
"
"          NIGERIAN MILITANT #2 (CONT D)
","          4.
"
"                         N
","
"
"                         OKOYE
","
"
"                         NAKIA
","          Prove to me you are one of us .
"
"                         T'CHALLA
","
"
"          T'CHALLA (CONT D)
","         N'Jobu grabs his bottom lip and flips it, revealing a
"
"                         NAKIA
","         vibranium threaded TATTOOglowing blue with Wakandan script.
"
"                         NIGERIAN WOMAN
","         The Dora SWIFTLY SLAMtheir spears down in unison , making the
"
"                         OKOYE
","         sound of an EMP. All electronics in the room instantly DIE
"
"         EXT. WAKANDAN
","
"
"                         MOUNTAIN
","
"
"                         BORDER- BREAKINGDAWN
","                         -
"
"         INT . ROYALTALONFIGHTER - BREAKINGDAWN
","         The room is pitch black , then .. . BOOM The Dora hit the floor
"
"                         OKOYE
","         with their spears again and the lights come back ON, but now
"
"         I/E . ROYALTALONFIGHTER - BREAKINGDAWN
","         YOUNG CHAKA(dressed in the ceremonial garb of the Black
"
"                         T'CHALLA
","         Panther) stands before them .
"
"         I/E . RTF - BREAKINGDAWN
","
"
"         EXT. THE GOLDENCITY, CAPITAL OF WAKANDA BREAKINGDAWN
","         N'Jobu kneels at the sight of him . He swats James , urging him
"
"         EXT. LANDING PAD, ROYALPALACE/INT. RTF - BREAKINGDAWN
","         to do the same .
"
"                         NAKIA
","          My King . ..
"
"                         RAMONDA
","
"
"                         OKOYE
","         Young T'Chaka looks at James , who gapes in awe .
"
"                         (TO AYO)
","          Leave us .
"
"                         AYO
","          This is James . I trust him with my
"
"          SHUR!
","          life . He stays , with your
"
"                         OKOYE
","          permission , King T'Chaka .
"
"                         T' CHALLA
","         Young T'Chaka looks at him for a long beat .
"
"                         T'CHALLA (CONT'D)
","          As yo u wish . At ease .·.
"
"          SHUR!
","         Young T' Chaka removes his mask , hands it off to the Dora and
"
